Date,Strategy,Type,ABT,ACN,AFL,AMZN,APA,APD,ARE,GOOGL,MMM,MO
2022-01-20,buy_and_hold,Rebalance,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2022-01-21,buy_and_hold,Hold,0.1027,0.0997,0.1001,0.0957,0.0981,0.1002,0.1009,0.0995,0.1013,0.1018
2022-01-24,buy_and_hold,Hold,0.1009,0.1005,0.1009,0.0968,0.0993,0.1001,0.1,0.0997,0.1011,0.1008
2022-01-25,buy_and_hold,Hold,0.1004,0.0993,0.1016,0.0937,0.1075,0.0989,0.0994,0.0967,0.1017,0.1009
2022-01-26,buy_and_hold,Hold,0.0987,0.0987,0.103,0.0939,0.1086,0.0988,0.0981,0.0994,0.1,0.1008
2022-01-27,buy_and_hold,Hold,0.099,0.0997,0.1025,0.0943,0.108,0.0985,0.0959,0.0992,0.1005,0.1025
2022-01-28,buy_and_hold,Hold,0.1016,0.1012,0.1018,0.096,0.1073,0.0978,0.0966,0.1011,0.095,0.1014
2022-01-31,buy_and_hold,Hold,0.1015,0.1025,0.1008,0.098,0.1056,0.0977,0.0976,0.1008,0.095,0.1004
2022-02-01,buy_and_hold,Hold,0.1004,0.1016,0.1001,0.0982,0.1094,0.0977,0.097,0.1017,0.095,0.0991
2022-02-02,buy_and_hold,Hold,0.1014,0.102,0.1001,0.0966,0.1082,0.0963,0.0965,0.108,0.0934,0.0976
2022-02-03,buy_and_hold,Hold,0.1036,0.1001,0.1023,0.0909,0.1098,0.0972,0.096,0.1066,0.094,0.0995
2022-02-04,buy_and_hold,Hold,0.1028,0.1002,0.1033,0.1027,0.1091,0.0906,0.095,0.1062,0.0915,0.0986
2022-02-07,buy_and_hold,Hold,0.1024,0.1001,0.1052,0.1039,0.1088,0.0884,0.0944,0.1042,0.0926,0.0999
2022-02-08,buy_and_hold,Hold,0.1029,0.1004,0.1064,0.1061,0.1049,0.0878,0.094,0.1043,0.0933,0.0999
2022-02-09,buy_and_hold,Hold,0.103,0.1021,0.105,0.1046,0.1053,0.0889,0.0949,0.1045,0.0928,0.0989
2022-02-10,buy_and_hold,Hold,0.1027,0.1002,0.1062,0.1051,0.1074,0.0882,0.0936,0.1043,0.0923,0.1
2022-02-11,buy_and_hold,Hold,0.1023,0.0976,0.1072,0.1027,0.111,0.0865,0.0951,0.1024,0.0934,0.1017
2022-02-14,buy_and_hold,Hold,0.1013,0.0979,0.1067,0.1052,0.1058,0.0873,0.0952,0.1046,0.0936,0.1024
2022-02-15,buy_and_hold,Hold,0.1015,0.0981,0.1071,0.1053,0.1053,0.0882,0.0953,0.1046,0.0925,0.1021
2022-02-16,buy_and_hold,Hold,0.1009,0.0991,0.1067,0.1061,0.1055,0.087,0.096,0.1051,0.0912,0.1023
2022-02-17,buy_and_hold,Hold,0.1002,0.0977,0.1065,0.1057,0.1074,0.0869,0.0972,0.103,0.0896,0.1058
2022-02-18,buy_and_hold,Hold,0.0978,0.0978,0.1072,0.105,0.1074,0.088,0.0977,0.1021,0.0896,0.1073
2022-02-22,buy_and_hold,Hold,0.0991,0.0986,0.1074,0.1042,0.1045,0.0873,0.0995,0.1024,0.0898,0.1072
2022-02-23,buy_and_hold,Hold,0.1002,0.0974,0.1067,0.1018,0.1052,0.0872,0.0998,0.102,0.0895,0.11
2022-02-24,buy_and_hold,Hold,0.1005,0.0974,0.1023,0.1054,0.1092,0.0865,0.1012,0.1051,0.0883,0.104
2022-02-25,buy_and_hold,Hold,0.1008,0.0966,0.1034,0.1041,0.1106,0.086,0.1002,0.1035,0.0899,0.105
